name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Roach Thomas,4644,🇬🇧 (United Kingdom),897,40-44,https://utmb.world/en/runner/118106.thomas.roach,Thomas ROACH
Koch Sven,4863,🇩🇪 (Germany),841,20-34,https://utmb.world/en/runner/3565961.sven.koch,Sven KOCH
Pirtschke Lukas,4687,🇩🇪 (Germany),804,35-39,https://utmb.world/en/runner/479169.andre.purschke,Andre PURSCHKE
Weiss Clemens,4791,🇦🇹 (Austria),784,40-44,https://utmb.world/en/runner/1008471.mario.weiss,Mario WEISS
Mühlmann Lukas,4809,🇦🇹 (Austria),769,20-34,https://utmb.world/en/runner/4219041.lukas.muhlmann,Lukas MÜHLMANN
Bergler Markus,4785,🇩🇪 (Germany),755,35-39,https://utmb.world/en/runner/1999975.markus.bergler,Markus BERGLER
Eisele Lukas,4625,🇩🇪 (Germany),755,20-34,https://utmb.world/en/runner/2276305.simon.eisele,Simon EISELE
Wöhrer David,4608,🇦🇹 (Austria),754,20-34,https://utmb.world/en/runner/3253681.david.wohrer,David WÖHRER
Leiter Daniel,4753,🇦🇹 (Austria),752,20-34,https://utmb.world/en/runner/4461992.michael.leiter,Michael LEITER
Halbmann Lukas,4605,🇩🇪 (Germany),742,45-49,https://utmb.world/en/runner/1065085.sebastian.hallmann,Sebastian HALLMANN
Peer David,4711,🇦🇹 (Austria),727,35-39,https://utmb.world/en/runner/4084288.daniel.peer,Daniel PEER
Baur Valentin,4525,🇩🇪 (Germany),720,20-34,https://utmb.world/en/runner/351186.matthias.baur,Matthias BAUR
Postl Andreas,4247,🇦🇹 (Austria),718,35-39,https://utmb.world/en/runner/524959.andreas.postl,Andreas POSTL
Bleier Felix,4358,🇦🇹 (Austria),717,20-34,https://utmb.world/en/runner/4461188.felix.bleier,Felix BLEIER
Jor Martin,4679,🇨🇿 (Czechia),714,35-39,https://utmb.world/en/runner/1445039.martin.jor,Martin JOR
Hric Roland,4807,🇸🇰 (Slovakia),713,20-34,https://utmb.world/en/runner/3480441.roland.hric,Roland HRIC
Muschinski Lennard,4618,🇩🇪 (Germany),710,20-34,https://utmb.world/en/runner/3959153.muschinski.lennard,Lennard MUSCHINSKI (Muschinski LENNARD)
Schneider Filip,4517,🇩🇪 (Germany),707,20-34,https://utmb.world/en/runner/4571974.marco.schneider,Marco SCHNEIDER
Schäfer Manuel,4368,🇩🇪 (Germany),704,20-34,https://utmb.world/en/runner/1128615.bastian.schafer,Bastian SCHÄFER
Wittmann Martin,4657,🇩🇪 (Germany),703,35-39,https://utmb.world/en/runner/143117.steffen.wittmann,Steffen WITTMANN
Ocker Marius,4378,🇩🇪 (Germany),698,45-49,https://utmb.world/en/runner/2396371.josef.ecker,Josef ECKER
Saint Alexandre,4802,🇧🇪 (Belgium),698,35-39,https://utmb.world/en/runner/5305222.alexandre.saint,Alexandre SAINT
Perry Niál,4544,🇬🇧 (United Kingdom),694,20-34,https://utmb.world/en/runner/903759.josh.perry,Josh PERRY
Kramer Lord Jens,4870,🇮🇹 (Italy),691,45-49,https://utmb.world/en/runner/322977.jens.kramer,Jens KRAMER
Novák Matej,4527,🇸🇰 (Slovakia),682,20-34,https://utmb.world/en/runner/4219741.matej.novak,Matej NOVÁK
Piater Bennett,4501,🇩🇪 (Germany),682,40-44,https://utmb.world/en/runner/4704980.pieter.hohne,Pieter HÖHNE
Graňák Matej,4529,🇸🇰 (Slovakia),681,20-34,https://utmb.world/en/runner/4421416.matej.granak,Matej GRAŇÁK
Schrader Tim,4779,🇩🇪 (Germany),681,35-39,https://utmb.world/en/runner/951611.tim.schrader,Tim SCHRADER
Wolff Marian,4632,🇩🇪 (Germany),679,40-44,https://utmb.world/en/runner/4184754.markus.wolff,Markus WOLFF
Leitner Xaver,4238,🇦🇹 (Austria),677,20-34,https://utmb.world/en/runner/5312306.benjamin.leitner,Benjamin LEITNER
van Buren Jona,4683,🇩🇪 (Germany),674,20-34,https://utmb.world/en/runner/5411564.jona.vanburen,Jona VAN BUREN
Kanz Alexander,4218,🇦🇹 (Austria),672,35-39,https://utmb.world/en/runner/4462074.alexander.kanz,Alexander KANZ
Seiwald Matthias,4334,🇦🇹 (Austria),670,35-39,https://utmb.world/en/runner/1576335.matthias.seiwald,Matthias SEIWALD
Kirk Peter,4889,🇬🇧 (United Kingdom),669,40-44,https://utmb.world/en/runner/1996205.peter.kirk,Peter KIRK
von Bartenwerffer Thomas,4547,🇩🇪 (Germany),666,35-39,https://utmb.world/en/runner/4463358.jakob.vonraumer,Jakob VON RAUMER
Keller Sebastian,4630,🇩🇪 (Germany),664,50-54,https://utmb.world/en/runner/63139.clemens.keller,Clemens KELLER
Capone Augusto,4824,🇦🇷 (Argentina),662,20-34,https://utmb.world/en/runner/4120872.augusto.capone,Augusto CAPONE
Dausend Matthias,4725,🇩🇪 (Germany),661,20-34,https://utmb.world/en/runner/4701656.florian.tausend,Florian TAUSEND
Kempf Jerome,4737,🇩🇪 (Germany),657,20-34,https://utmb.world/en/runner/4002620.ralf.kempf,Ralf KEMPF
Mackinger Christoph,4352,🇦🇹 (Austria),657,40-44,https://utmb.world/en/runner/4000260.christoph.mackinger,Christoph MACKINGER
Morvan Pierrick,4729,🇫🇷 (France),652,35-39,https://utmb.world/en/runner/1949783.pierrick.morvan,Pierrick MORVAN
