name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Petersen Severine,6114,🇩🇪 (Germany),655,20-34,https://utmb.world/en/runner/4417944.severine.petersen,Severine PETERSEN
Dixon Emi,6345,🇬🇧 (United Kingdom),649,20-34,https://utmb.world/en/runner/2473267.emily.dixon,Emily DIXON
Prud'Homme Cloé,6386,🇫🇷 (France),629,20-34,https://utmb.world/en/runner/1038225.cloe.prudhomme,Cloé PRUD'HOMME
Dörries Carola,6158,🇩🇪 (Germany),621,20-34,https://utmb.world/en/runner/63229.carola.dorries,Carola DÖRRIES
Lang Enne Marianne,6069,🇦🇹 (Austria),607,35-39,https://utmb.world/en/runner/4193991.nina.lang,Nina LANG
van der Loop Janne,6190,🇳🇱 (Netherlands),597,20-34,https://utmb.world/en/runner/4265053.noor.vanderveen,Noor VAN DER VEEN
Party Aurore,6143,🇫🇷 (France),596,45-49,https://utmb.world/en/runner/2252679.sabrina.parsy,Sabrina PARSY
Richter Carolin,6223,🇩🇪 (Germany),575,35-39,https://utmb.world/en/runner/4765534.julia.richter,Julia RICHTER
van Thiel Helena,6249,🇩🇪 (Germany),574,20-34,https://utmb.world/en/runner/4997235.helena.vanthiel,Helena VAN THIEL
Alt Ricarda,6359,🇩🇪 (Germany),568,35-39,https://utmb.world/en/runner/2181135.ricarda.alt,Ricarda ALT
Auraß Malin,6089,🇩🇪 (Germany),558,45-49,https://utmb.world/en/runner/5460278.malin.aurass,Malin AURAß
Keck Marietta,6351,🇩🇪 (Germany),553,20-34,https://utmb.world/en/runner/4461082.marietta.keck,Marietta KECK
Patauner Karin,6404,🇮🇹 (Italy),551,20-34,https://utmb.world/en/runner/4794846.karin.patauner,Karin PATAUNER
Berners Anja,6376,🇩🇪 (Germany),549,35-39,https://utmb.world/en/runner/4198937.anja.berners,Anja BERNERS
Geringer Vanessa,6034,🇩🇪 (Germany),547,20-34,https://utmb.world/en/runner/5305612.vanessa.geringer,Vanessa GERINGER
Punz-Raml Michaela,6060,🇦🇹 (Austria),543,45-49,https://utmb.world/en/runner/4525204.michaela.punzraml,Michaela PUNZ-RAML
Gründler Anne,6356,🇩🇪 (Germany),541,35-39,https://utmb.world/en/runner/2180483.anne.grundler,Anne GRÜNDLER
Schöll-Hosp Sabine,6066,🇦🇹 (Austria),537,45-49,https://utmb.world/en/runner/4461314.sabine.schollhosp,Sabine SCHÖLL-HOSP
Lehner Iris,6025,🇩🇪 (Germany),535,40-44,https://utmb.world/en/runner/4277526.conny.lehner,Conny LEHNER
Schittenhelm Andrea,6065,🇸🇰 (Slovakia),530,40-44,https://utmb.world/en/runner/5201920.andrea.schittenhelm,Andrea SCHITTENHELM
Furque Victoria,6131,🇦🇷 (Argentina),529,35-39,https://utmb.world/en/runner/4166342.mariavictoria.furque,Maria Victoria FURQUE
Abt Leandra,6340,🇩🇪 (Germany),527,20-34,https://utmb.world/en/runner/5305302.leandra.abt,Leandra ABT
Eggerschwiler Bernadette,6305,🇨🇭 (Switzerland),526,55-59,https://utmb.world/en/runner/45259.bernadette.eggerschwiler,Bernadette EGGERSCHWILER
Helbing Sandra,6137,🇩🇪 (Germany),524,40-44,https://utmb.world/en/runner/4015999.sandra.helbing,Sandra HELBING
Gaillard Lauren,6378,🇺🇸 (United States),518,20-34,https://utmb.world/en/runner/4218789.lauren.gaillard,Lauren GAILLARD
McCarthy Aine,6233,🇮🇪 (Ireland),518,40-44,https://utmb.world/en/runner/5692864.aine.mccarthy,Aine MC CARTHY
Gorna Monika,6334,🇵🇱 (Poland),514,45-49,https://utmb.world/en/runner/2054611.monika.gornacichon,Monika GÓRNA-CICHOŃ
Bungenberg Andrea,6419,🇩🇪 (Germany),512,20-34,https://utmb.world/en/runner/4416174.sandra.bannenberg,Sandra BANNENBERG
Langeder Julia,6314,🇩🇪 (Germany),511,20-34,https://utmb.world/en/runner/5407948.julia.langeder,Julia LANGEDER
Gottschalk Corinna,6173,🇩🇪 (Germany),510,35-39,https://utmb.world/en/runner/3975085.corinna.gottschalk,Corinna GOTTSCHALK
Scheele Sofia,6372,🇩🇪 (Germany),508,20-34,https://utmb.world/en/runner/5578684.johanna.schiele,Johanna SCHIELE
Svobodová Tereza,6341,🇨🇿 (Czechia),505,20-34,https://utmb.world/en/runner/5113866.tereza.svobodova,Tereza SVOBODOVÁ
Clot Joëlle,6369,🇨🇭 (Switzerland),502,20-34,https://utmb.world/en/runner/4607614.joelle.clot,Joëlle CLOT
Johannsen Gesa,6054,🇩🇪 (Germany),498,35-39,https://utmb.world/en/runner/5305704.gesa.johannsen,Gesa JOHANNSEN
Baner Kim,6326,🇳🇱 (Netherlands),492,45-49,https://utmb.world/en/runner/306287.kim.baner,Kim BANER
Schöning Lena,6096,🇩🇪 (Germany),491,20-34,https://utmb.world/en/runner/5306608.lena.schoning,Lena SCHÖNING
Schmied Nadine,6189,🇨🇭 (Switzerland),486,35-39,https://utmb.world/en/runner/674119.nadine.schmied,Nadine SCHMIED
Gnodtke Nadine,6402,🇩🇪 (Germany),484,20-34,https://utmb.world/en/runner/5489676.nadine.gnodtke,Nadine GNODTKE
Gehrmann Franziska,6176,🇩🇪 (Germany),483,35-39,https://utmb.world/en/runner/4461450.franziska.gehrmann,Franziska GEHRMANN
Pütz Monika,6104,🇩🇪 (Germany),483,35-39,https://utmb.world/en/runner/4668624.monika.putz,Monika PÜTZ
Cotten Danielle,6270,🇨🇭 (Switzerland),481,35-39,https://utmb.world/en/runner/4194399.danielle.cotten,Danielle COTTEN
Döpp Johanna,6303,🇩🇪 (Germany),480,20-34,https://utmb.world/en/runner/5493076.johanna.dopp,Johanna DÖPP
Muth Stefanie,6126,🇩🇪 (Germany),480,45-49,https://utmb.world/en/runner/4219120.stefanie.muth,Stefanie MUTH
Bayer Leonie,6146,🇩🇪 (Germany),474,20-34,https://utmb.world/en/runner/4218817.leonie.bayer,Leonie BAYER
Schmidt Rosemarie,6120,🇩🇪 (Germany),470,35-39,https://utmb.world/en/runner/4460954.rosemarie.schmidt,Rosemarie SCHMIDT
