name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Kowalczyk Janosch,6414,🇩🇪 (Germany),875,20-34,https://utmb.world/en/runner/143115.janosch.kowalczyk,Janosch KOWALCZYK
Koch Daniel,6080,🇩🇪 (Germany),841,20-34,https://utmb.world/en/runner/3565961.sven.koch,Sven KOCH
Stern Markus,6412,🇦🇹 (Austria),827,40-44,https://utmb.world/en/runner/2531659.christian.stern,Christian STERN
Löw Johannes,6197,🇩🇪 (Germany),805,35-39,https://utmb.world/en/runner/4218741.johannes.low,Johannes LOW
Reichert Robert,6301,🇩🇪 (Germany),796,40-44,https://utmb.world/en/runner/279430.florian.reichert,Florian REICHERT
Jansch Philipp,6361,🇦🇹 (Austria),779,35-39,https://utmb.world/en/runner/2131805.philipp.jansch,Philipp JANSCH
Kaufmann Gerhard,6418,🇦🇹 (Austria),775,40-44,https://utmb.world/en/runner/4180173.gerhard.kaufmann,Gerhard KAUFMANN
Siwek Michał,6316,🇵🇱 (Poland),758,20-34,https://utmb.world/en/runner/2054381.michal.siwek,Michal SIWEK
Reichl Thomas,6410,🇦🇹 (Austria),751,20-34,https://utmb.world/en/runner/1995909.thomas.reichl,Thomas REICHL
Ostfalk Johannes,6211,🇩🇪 (Germany),746,20-34,https://utmb.world/en/runner/4461196.johannes.ostfalk,Johannes OSTFALK
Horst Daniel,6381,🇩🇪 (Germany),726,35-39,https://utmb.world/en/runner/63404.daniel.horst,Daniel HORST
Dörr Marvin,6229,🇩🇪 (Germany),698,20-34,https://utmb.world/en/runner/5460308.johannes.dorr,Johannes DÖRR
Herron Felix,6076,🇺🇸 (United States),697,20-34,https://utmb.world/en/runner/4218742.felix.herron,Felix HERRON
Scherz Daniel,6241,🇨🇭 (Switzerland),693,35-39,https://utmb.world/en/runner/2200655.daniel.scherz,Daniel SCHERZ
Kraft Lukas,1006,🇦🇹 (Austria),684,45-49,https://utmb.world/en/runner/1454723.erich.kraft,Erich KRAFT
Van de Putte Sander,6224,🇧🇪 (Belgium),684,20-34,https://utmb.world/en/runner/5061609.sander.vandeputte,Sander VAN DE PUTTE
Montoya Hernando,6424,🇺🇸 (United States),683,35-39,https://utmb.world/en/runner/4116445.natty.montoya,Natty MONTOYA
Müll Luca,6252,🇩🇪 (Germany),673,20-34,https://utmb.world/en/runner/4461922.luca.mull,Luca MÜLL
Perkonigg Matthias,6292,🇦🇹 (Austria),669,20-34,https://utmb.world/en/runner/1996323.matthias.perkonigg,Matthias PERKONIGG
Böck Sebastian,6240,🇩🇪 (Germany),648,20-34,https://utmb.world/en/runner/4218717.sebastian.bock,Sebastian BÖCK
Thiele Rudolf,6295,🇩🇪 (Germany),646,35-39,https://utmb.world/en/runner/4278718.christoph.thiele,Christoph THIELE
von Stelzer Christopher,6405,🇩🇪 (Germany),646,20-34,https://utmb.world/en/runner/5522234.christopher.vonstelzer,Christopher VON STELZER
Fuchs Thomas,6420,🇦🇹 (Austria),645,45-49,https://utmb.world/en/runner/4218712.thomas.fuchs,Thomas FUCHS
Weissnicht Mathias,6018,🇦🇹 (Austria),644,35-39,https://utmb.world/en/runner/4015822.mathias.weissnicht,Mathias WEISSNICHT
Edelmann René,6188,🇨🇭 (Switzerland),643,35-39,https://utmb.world/en/runner/674118.rene.edelmann,René EDELMANN
Watanabe Shingo,6393,🇯🇵 (Japan),639,40-44,https://utmb.world/en/runner/36475.shingo.watanabe,Shingo WATANABE
Kaiser Fabian,6045,🇩🇪 (Germany),634,45-49,https://utmb.world/en/runner/1060625.fabian.kaiser,Fabian KAISER
Rudisch Peter,6210,🇩🇪 (Germany),632,35-39,https://utmb.world/en/runner/4001755.peter.rudisch,Peter RUDISCH
Röhm Jonas,6232,🇩🇪 (Germany),630,40-44,https://utmb.world/en/runner/4015834.andreas.rohm,Andreas RÖHM
Vogt Lasse,6245,🇩🇪 (Germany),630,45-49,https://utmb.world/en/runner/672019.roman.vogt,Roman VOGT
Albertini Simon,6057,🇦🇹 (Austria),622,20-34,https://utmb.world/en/runner/5306480.simon.albertini,Simon ALBERTINI
Reinhardt Markus,6090,🇩🇪 (Germany),622,35-39,https://utmb.world/en/runner/1553035.markus.reinhardt,Markus REINHARDT
Pfandl Markus,6062,🇦🇹 (Austria),618,20-34,https://utmb.world/en/runner/4084246.markus.pfandl,Markus PFANDL
Filzmaier Lars,6024,🇦🇹 (Austria),614,35-39,https://utmb.world/en/runner/4461218.lars.filzmaier,Lars FILZMAIER
Lecuyot Stephane,6348,🇫🇷 (France),611,40-44,https://utmb.world/en/runner/3557029.stephane.lecuyot,Stephane LECUYOT
Weyer Tom,6254,🇱🇺 (Luxembourg),606,40-44,https://utmb.world/en/runner/1715229.tom.weyer,Tom WEYER
Geurts Ghislain,6163,🇳🇱 (Netherlands),600,40-44,https://utmb.world/en/runner/4203053.ghislain.geurts,Ghislain GEURTS
Molenaar Peter,6251,🇳🇱 (Netherlands),599,20-34,https://utmb.world/en/runner/5224553.jessie.molenaar,Jessie MOLENAAR
Ehrmeier Stefan,6217,🇩🇪 (Germany),597,35-39,https://utmb.world/en/runner/4046708.stefan.ehrmeier,Stefan EHRMEIER
Schuster Patrick,6165,🇩🇪 (Germany),596,40-44,https://utmb.world/en/runner/5329048.christoph.schuster,Christoph SCHUSTER
Fischer Jan,6149,🇩🇪 (Germany),594,40-44,https://utmb.world/en/runner/2228027.jan.fischer,Jan FISCHER
Werner Simon,6058,🇩🇪 (Germany),594,40-44,https://utmb.world/en/runner/505349.simon.werner,Simon WERNER
Stranz Stephan,6185,🇩🇪 (Germany),593,20-34,https://utmb.world/en/runner/2276357.stephan.stranz,Stephan STRANZ
Kas Frantisek,6121,🇨🇿 (Czechia),591,20-34,https://utmb.world/en/runner/3934073.frantisek.kas,František KÁŠ
Molinaro Jeremy,6215,🇫🇷 (France),587,50-54,https://utmb.world/en/runner/177921.gregory.molinaro,Gregory MOLINARO
Zieliński Mateusz,6377,🇵🇱 (Poland),585,20-34,https://utmb.world/en/runner/4213545.mateusz.zielinski,Mateusz ZIELIŃSKI
Herrero Lars,6248,🇩🇪 (Germany),583,20-34,https://utmb.world/en/runner/5306490.lars.herrero,Lars HERRERO
Loidl Tobi,6349,🇦🇹 (Austria),582,20-34,https://utmb.world/en/runner/3035131.tobias.loidl,Tobias LOIDL
Wett Valentin,6063,🇦🇹 (Austria),582,20-34,https://utmb.world/en/runner/4015554.valentin.wett,Valentin WETT
Braun Joscha,6246,🇦🇹 (Austria),580,20-34,https://utmb.world/en/runner/2131933.joscha.braun,Joscha BRAUN
Schlipf Michael,6363,🇩🇪 (Germany),580,35-39,https://utmb.world/en/runner/3386345.christian.schlipf,Christian SCHLIPF
Klaiber Julian,6329,🇩🇪 (Germany),579,20-34,https://utmb.world/en/runner/5287300.julian.klaiber,Julian KLAIBER
Winkler Johannes,6204,🇦🇹 (Austria),579,20-34,https://utmb.world/en/runner/4668456.sebastian.winkler,Sebastian WINKLER
Daly Lewis,6360,🇦🇺 (Australia),577,20-34,https://utmb.world/en/runner/5641792.lachlan.dalgleish,Lachlan DALGLEISH
Krammer Christian,6282,🇦🇹 (Austria),575,45-49,https://utmb.world/en/runner/4173520.christian.krammer,Christian KRAMMER
Kelm Valentin,6192,🇩🇪 (Germany),571,20-34,https://utmb.world/en/runner/4218695.valentin.kelm,Valentin KELM
Falk Sebastian,6052,🇩🇪 (Germany),570,20-34,https://utmb.world/en/runner/2237323.sebastian.falk,Sebastian FALK
Häuslmann Stefan,6195,🇩🇪 (Germany),570,20-34,https://utmb.world/en/runner/4460830.stefan.hauslmann,Stefan HÄUSLMANN
Pietzsch Thomas,6370,🇩🇪 (Germany),565,55-59,https://utmb.world/en/runner/330446.thomas.pietzsch,Thomas PIETZSCH
Cocco Giovanni,6111,🇮🇹 (Italy),564,40-44,https://utmb.world/en/runner/3703503.giovanni.cocco,Giovanni COCCO
Teichmann Jörg,6108,🇩🇪 (Germany),563,40-44,https://utmb.world/en/runner/1582421.jorg.teichmann,Jörg TEICHMANN
Scholtysik Sebastian,6398,🇩🇪 (Germany),562,20-34,https://utmb.world/en/runner/4211009.sebastian.scholtysik,Sebastian SCHOLTYSIK
Batliner Andreas,6352,🇱🇮 (Liechtenstein),559,20-34,https://utmb.world/en/runner/4015843.andreas.batliner,Andreas BATLINER
Graf Andreas,6026,🇩🇪 (Germany),556,20-34,https://utmb.world/en/runner/4271893.andreas.graf,Andreas GRAF
Chetverukhin Vladimir,6365,🇷🇺 (Russia),554,35-39,https://utmb.world/en/runner/4797730.vladimir.chetverukhin,Vladimir CHETVERUKHIN
Gruber Alexander,6112,🇮🇹 (Italy),553,45-49,https://utmb.world/en/runner/3703501.alexander.gruber,Alexander GRUBER
