name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Kistner Sarah,1,🇩🇪 (Germany),683,20-34,https://utmb.world/en/runner/2593427.sarah.kistner,Sarah KISTNER
Meinheit Miria,18,🇩🇪 (Germany),668,20-34,https://utmb.world/en/runner/4046831.miria.meinheit,Miria MEINHEIT
Rößler Juliane,218,🇩🇪 (Germany),660,20-34,https://utmb.world/en/runner/4183033.juliane.rossler,Juliane RÖSSLER
Zahlauer Susanne,276,🇩🇪 (Germany),659,45-49,https://utmb.world/en/runner/1551561.susanne.zahlauer,Susanne ZAHLAUER
Thaler Edeltraud,16,🇮🇹 (Italy),649,55-59,https://utmb.world/en/runner/118146.edeltraud.thaler,Edeltraud THALER
Erhart Caroline-Clauida,281,🇨🇭 (Switzerland),640,20-34,https://utmb.world/en/runner/5441669.carolineclaudia.erhart,Caroline-Claudia ERHART
Faessler Nadja,17,🇨🇭 (Switzerland),637,20-34,https://utmb.world/en/runner/5770712.nadja.faessler,Nadja FAESSLER
Friedl Jana Nele,80,🇩🇪 (Germany),635,20-34,https://utmb.world/en/runner/1059981.anke.friedl,Anke FRIEDL
Plaikner Tanja,287,🇮🇹 (Italy),635,40-44,https://utmb.world/en/runner/1060637.tanja.plaikner,Tanja PLAIKNER
Moser Svenja,285,🇩🇪 (Germany),626,20-34,https://utmb.world/en/runner/2279231.svenja.moser,Svenja MOSER
Bachmayer Verena,27,🇩🇪 (Germany),624,20-34,https://utmb.world/en/runner/4572344.verena.bachmayer,Verena BACHMAYER
Aschaber Eva,26,🇦🇹 (Austria),609,55-59,https://utmb.world/en/runner/3328019.eva.aschaber,Eva ASCHABER
Brüning Juli,40,🇩🇪 (Germany),594,20-34,https://utmb.world/en/runner/5051506.juli.bruning,Juli BRÜNING
Kirk Christina,123,🇦🇹 (Austria),589,20-34,https://utmb.world/en/runner/2121029.christina.kohl,Christina KOHL
Saburova Kseniia,226,🇷🇺 (Russia),582,20-34,https://utmb.world/en/runner/3076679.kseniia.saburova,Kseniia SABUROVA
Sager Brigitte Elisabeth,227,🇦🇹 (Austria),575,35-39,https://utmb.world/en/runner/4007770.brigitteelisabeth.sager,Brigitte Elisabeth SAGER
Langebner Stephanie,147,🇮🇹 (Italy),568,20-34,https://utmb.world/en/runner/4417910.stephanie.langebner,Stephanie LANGEBNER
Hofer Julia,104,🇮🇹 (Italy),559,35-39,https://utmb.world/en/runner/743949.julia.hofer,Julia HOFER
Hutter Lisa,113,🇦🇹 (Austria),552,20-34,https://utmb.world/en/runner/4596372.lisa.hutter,Lisa HUTTER
Patauner Karin,185,🇮🇹 (Italy),551,20-34,https://utmb.world/en/runner/4794846.karin.patauner,Karin PATAUNER
West Camilla,268,🇬🇧 (United Kingdom),551,35-39,https://utmb.world/en/runner/4705176.camilla.west,Camilla WEST
Da Sacco Sara,52,🇮🇹 (Italy),547,40-44,https://utmb.world/en/runner/4742106.sara.dasacco,Sara DA SACCO
Perenzoni Elisa,296,🇮🇹 (Italy),542,40-44,https://utmb.world/en/runner/4107541.elisa.perenzoni,Elisa PERENZONI
Laimer Elisabeth,146,🇮🇹 (Italy),537,55-59,https://utmb.world/en/runner/525080.elisabeth.laimer,Elisabeth LAIMER
Pighini Sylvie,191,🇫🇷 (France),536,35-39,https://utmb.world/en/runner/1383283.sylvie.pighini,Sylvie PIGHINI
Huber Angelica,111,🇮🇹 (Italy),532,60-64,https://utmb.world/en/runner/241150.angelica.huber,Angelica HUBER
Huber Verena,284,🇮🇹 (Italy),531,45-49,https://utmb.world/en/runner/5027838.verena.huber,Verena HUBER
Thurner Tamara,175,🇦🇹 (Austria),528,45-49,https://utmb.world/en/runner/5441214.tamara.thurner,Tamara THURNER
Rabanser Monika,204,🇮🇹 (Italy),527,20-34,https://utmb.world/en/runner/3308347.monika.rabanser,Monika RABANSER
Ennemoser Sarah,70,🇦🇹 (Austria),522,50-54,https://utmb.world/en/runner/3253833.sarah.ennemoser,Sarah ENNEMOSER
König Angelika,137,🇦🇹 (Austria),520,45-49,https://utmb.world/en/runner/4065301.angelika.koenig,Angelika KOENIG
Platzgummer Helga,300,🇮🇹 (Italy),520,50-54,https://utmb.world/en/runner/487937.helgaflora.platzgummer,Helga-Flora PLATZGUMMER
Mexner Sarah,165,🇩🇪 (Germany),508,40-44,https://utmb.world/en/runner/5075945.sarah.mexner,Sarah MEXNER
Dietl Helga,59,🇩🇪 (Germany),501,60-64,https://utmb.world/en/runner/860545.helga.dietl,Helga DIETL
Gmainer Birgit,89,🇦🇹 (Austria),498,20-34,https://utmb.world/en/runner/4615308.birgit.gmainer,Birgit GMAINER
Minaricova Linda,167,🇸🇰 (Slovakia),498,20-34,https://utmb.world/en/runner/4953078.linda.minaricova,Linda MINARICOVA
Knödler Marianne,132,🇩🇪 (Germany),494,55-59,https://utmb.world/en/runner/343973.marianne.knodler,Marianne KNÖDLER
Graf Annemarie,92,🇩🇪 (Germany),491,55-59,https://utmb.world/en/runner/4518070.annemarie.graf,Annemarie GRAF
Baierl Andrea,28,🇩🇪 (Germany),490,40-44,https://utmb.world/en/runner/4778308.susann.baier,Susann BAIER
Gestermann Nuria,86,🇩🇪 (Germany),488,20-34,https://utmb.world/en/runner/5454670.annik.westermann,Annik WESTERMANN
Gnodtke Nadine,90,🇩🇪 (Germany),484,20-34,https://utmb.world/en/runner/5489676.nadine.gnodtke,Nadine GNODTKE
Bonassi Claudia,35,🇮🇹 (Italy),483,50-54,https://utmb.world/en/runner/1060541.claudia.bonassi,Claudia BONASSI
Ager Petra,21,🇦🇹 (Austria),479,60-64,https://utmb.world/en/runner/57238.petra.ager,Petra AGER
Rößler Kristine,219,🇩🇪 (Germany),479,55-59,https://utmb.world/en/runner/1479517.kristine.rossler,Kristine RÖßLER
Gschwandtner Theresa,95,🇦🇹 (Austria),467,20-34,https://utmb.world/en/runner/1454757.theresa.gschwandtner,Theresa GSCHWANDTNER
Wiedemann Nicole,270,🇩🇪 (Germany),467,40-44,https://utmb.world/en/runner/4461678.nicole.wiedemann,Nicole WIEDEMANN
Berg Imke Kristin,34,🇩🇪 (Germany),465,35-39,https://utmb.world/en/runner/4249775.imkekristin.berg,Imke Kristin BERG
Ruiz Daniela,225,🇨🇭 (Switzerland),463,50-54,https://utmb.world/en/runner/3749425.daniela.ruiz,Daniela RUIZ
Seifert Franziska,239,🇩🇪 (Germany),460,20-34,https://utmb.world/en/runner/5057689.franziska.seifert,Franziska SEIFERT
Prechtl Tanja,198,🇦🇹 (Austria),452,35-39,https://utmb.world/en/runner/4015471.tanja.prechtl,Tanja PRECHTL
Loferer Lisa,152,🇦🇹 (Austria),447,20-34,https://utmb.world/en/runner/4259658.lisa.loferer,Lisa LOFERER
Endfellner Kathrin,68,🇦🇹 (Austria),444,20-34,https://utmb.world/en/runner/4838928.kathrin.endfellner,Kathrin ENDFELLNER
Forstner Sabine,77,🇩🇪 (Germany),437,50-54,https://utmb.world/en/runner/4518142.sabine.forstner,Sabine FORSTNER
Mahle Annika,158,🇩🇪 (Germany),435,20-34,https://utmb.world/en/runner/5460384.annika.mahle,Annika MAHLE
Speidel Marion,244,🇩🇪 (Germany),421,55-59,https://utmb.world/en/runner/69248.marion.speidel,Marion SPEIDEL
Lohr Eva,154,🇩🇪 (Germany),417,55-59,https://utmb.world/en/runner/424450.eva.lohr,Eva LOHR
Gallotti Raffaella,83,🇮🇹 (Italy),413,50-54,https://utmb.world/en/runner/60369.raffaella.gallotti,Raffaella GALLOTTI
De Polo Gaia,55,🇮🇹 (Italy),408,20-34,https://utmb.world/en/runner/4206376.gaia.depolo,Gaia DE POLO
Crutchley Jess,51,🇩🇪 (Germany),400,40-44,https://utmb.world/en/runner/4705098.jess.crutchley,Jess CRUTCHLEY
Rottluff Elsa,221,🇫🇮 (Finland),379,20-34,https://utmb.world/en/runner/5186689.elsa.rottluff,Elsa ROTTLUFF
Gutknecht Heike,96,🇩🇪 (Germany),336,35-39,https://utmb.world/en/runner/1181487.heike.gutknecht,Heike GUTKNECHT
Coulthard Pia,50,🇩🇪 (Germany),0,,,
Forstner Sonja,76,🇩🇪 (Germany),0,35-39,https://utmb.world/en/runner/2124921.sonja.forster,Sonja FÖRSTER
