name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Namberger Hannes,4,🇩🇪 (Germany),908,35-39,https://utmb.world/en/runner/1008473.hannes.namberger,Hannes NAMBERGER
Hoffmann Benedikt,6,🇩🇪 (Germany),885,35-39,https://utmb.world/en/runner/929131.benedikt.hoffmann,Benedikt HOFFMANN
Arrigoni Luca,10,🇮🇹 (Italy),867,40-44,https://utmb.world/en/runner/1157525.luca.arrigoni,Luca ARRIGONI
Koch Sven,14,🇩🇪 (Germany),841,20-34,https://utmb.world/en/runner/3565961.sven.koch,Sven KOCH
Perkmann Hannes,5,🇮🇹 (Italy),840,20-34,https://utmb.world/en/runner/673081.hannes.perkmann,Hannes PERKMANN
Hutter Alexander,7,🇦🇹 (Austria),838,20-34,https://utmb.world/en/runner/3034591.alexander.hutter,Alexander HUTTER
Greiner Daniel,93,🇩🇪 (Germany),828,40-44,https://utmb.world/en/runner/4739562.daniel.greiner,Daniel GREINER
Löw Johannes,12,🇩🇪 (Germany),805,35-39,https://utmb.world/en/runner/4218741.johannes.low,Johannes LOW
Niski Adrian,13,🇩🇪 (Germany),803,20-34,https://utmb.world/en/runner/699240.adrian.niski,Adrian NISKI
De Salvador Marco,15,🇮🇹 (Italy),802,35-39,https://utmb.world/en/runner/109136.marco.desalvador,Marco DE SALVADOR
Jahnke Ronald,118,🇩🇪 (Germany),780,40-44,https://utmb.world/en/runner/1059957.ronald.jahnke,Ronald JAHNKE
Geissler Marcel,85,🇩🇪 (Germany),767,35-39,https://utmb.world/en/runner/3381513.marcel.geisler,Marcel GEISLER
Graf Martin,291,🇮🇹 (Italy),760,40-44,https://utmb.world/en/runner/4005163.martin.graf,Martin GRAF
Springhetti Christian,246,🇮🇹 (Italy),751,40-44,https://utmb.world/en/runner/241124.christian.springhetti,Christian SPRINGHETTI
Ostfalk Johannes,182,🇩🇪 (Germany),746,20-34,https://utmb.world/en/runner/4461196.johannes.ostfalk,Johannes OSTFALK
Zöggeler Matthäus,72,🇮🇹 (Italy),741,20-34,https://utmb.world/en/runner/2269845.matthaus.zoggeler,Matthäus ZÖGGELER
Mühlbauer Hans,171,🇩🇪 (Germany),733,40-44,https://utmb.world/en/runner/56906.hans.muhlbauer,Hans MUHLBAUER
Mair Rene,159,🇦🇹 (Austria),731,40-44,https://utmb.world/en/runner/1454735.rene.mair,Rene MAIR
